NU_ANO,CO_CURSO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO
2023,135,2,1,10028,17,1,5300108,53,5
2023,137,2,1,10028,5806,1,5300108,53,5
2023,137,2,1,10028,5806,1,5300108,53,5
2023,136,2,1,10028,5710,1,5300108,53,5
2023,132,2,1,10028,21,1,5300108,53,5
2023,137,2,1,10028,5806,1,5300108,53,5
2023,136,2,1,10028,5710,1,5300108,53,5
2023,135,2,1,10028,17,1,5300108,53,5
2023,139,2,1,10028,6405,1,5300108,53,5
2023,12,1,1,10028,12,1,5103403,51,5
2023,138,2,1,10028,5902,1,5300108,53,5
2023,10,1,1,10028,6405,1,5103403,51,5
2023,136,2,1,10028,5710,1,5300108,53,5
2023,140,2,1,10028,12,1,5300108,53,5
2023,140,2,1,10028,12,1,5300108,53,5
2023,139,2,1,10028,6405,1,5300108,53,5
2023,37,1,1,10028,5,1,5103403,51,5
2023,139,2,1,10028,6405,1,5300108,53,5
2023,137,2,1,10028,5806,1,5300108,53,5
2023,44,1,1,10028,21,1,5103403,51,5
2023,135,2,1,10028,17,1,5300108,53,5
2023,16,1,1,10028,5806,1,5103403,51,5
2023,132,2,1,10028,21,1,5300108,53,5
2023,135,2,1,10028,17,1,5300108,53,5
2023,17,1,1,10028,23,1,5103403,51,5
2023,17,1,1,10028,23,1,5103403,51,5
2023,12,1,1,10028,12,1,5103403,51,5
2023,140,2,1,10028,12,1,5300108,53,5
2023,139,2,1,10028,6405,1,5300108,53,5
2023,140,2,1,10028,12,1,5300108,53,5
2023,132,2,1,10028,21,1,5300108,53,5
2023,12,1,1,10028,12,1,5103403,51,5
2023,136,2,1,10028,5710,1,5300108,53,5
2023,135,2,1,10028,17,1,5300108,53,5
2023,132,2,1,10028,21,1,5300108,53,5
2023,17,1,1,10028,23,1,5103403,51,5
2023,137,2,1,10028,5806,1,5300108,53,5
2023,135,2,1,10028,17,1,5300108,53,5
2023,139,2,1,10028,6405,1,5300108,53,5
2023,9,1,1,10028,17,1,5103403,51,5
2023,132,2,1,10028,21,1,5300108,53,5
2023,12,1,1,10028,12,1,5103403,51,5
2023,44,1,1,10028,21,1,5103403,51,5
2023,140,2,1,10028,12,1,5300108,53,5
2023,44,1,1,10028,21,1,5103403,51,5
2023,37,1,1,10028,5,1,5103403,51,5
2023,139,2,1,10028,6405,1,5300108,53,5
2023,136,2,1,10028,5710,1,5300108,53,5
2023,132,2,1,10028,21,1,5300108,53,5
2023,138,2,1,10028,5902,1,5300108,53,5
2023,135,2,1,10028,17,1,5300108,53,5
2023,139,2,1,10028,6405,1,5300108,53,5
2023,20,1,1,10028,28,1,5103403,51,5
2023,135,2,1,10028,17,1,5300108,53,5
2023,3,1,1,10028,5710,1,5103403,51,5
2023,3,1,1,10028,5710,1,5103403,51,5
2023,136,2,1,10028,5710,1,5300108,53,5
2023,3,1,1,10028,5710,1,5103403,51,5
2023,17,1,1,10028,23,1,5103403,51,5
2023,138,2,1,10028,5902,1,5300108,53,5
2023,44,1,1,10028,21,1,5103403,51,5
2023,9,1,1,10028,17,1,5103403,51,5
2023,135,2,1,10028,17,1,5300108,53,5
2023,17,1,1,10028,23,1,5103403,51,5
2023,136,2,1,10028,5710,1,5300108,53,5
2023,137,2,1,10028,5806,1,5300108,53,5
2023,136,2,1,10028,5710,1,5300108,53,5
2023,139,2,1,10028,6405,1,5300108,53,5
2023,9,1,1,10028,17,1,5103403,51,5
2023,135,2,1,10028,17,1,5300108,53,5
2023,12,1,1,10028,12,1,5103403,51,5
2023,135,2,1,10028,17,1,5300108,53,5
2023,136,2,1,10028,5710,1,5300108,53,5
2023,137,2,1,10028,5806,1,5300108,53,5
2023,44,1,1,10028,21,1,5103403,51,5
2023,37,1,1,10028,5,1,5103403,51,5
2023,136,2,1,10028,5710,1,5300108,53,5
2023,9,1,1,10028,17,1,5103403,51,5
2023,136,2,1,10028,5710,1,5300108,53,5
2023,44,1,1,10028,21,1,5103403,51,5
2023,137,2,1,10028,5806,1,5300108,53,5
2023,9,1,1,10028,17,1,5103403,51,5
2023,37,1,1,10028,5,1,5103403,51,5
2023,9,1,1,10028,17,1,5103403,51,5
2023,44,1,1,10028,21,1,5103403,51,5
2023,135,2,1,10028,17,1,5300108,53,5
2023,140,2,1,10028,12,1,5300108,53,5
2023,137,2,1,10028,5806,1,5300108,53,5
2023,137,2,1,10028,5806,1,5300108,53,5
2023,132,2,1,10028,21,1,5300108,53,5
2023,132,2,1,10028,21,1,5300108,53,5
2023,132,2,1,10028,21,1,5300108,53,5
2023,135,2,1,10028,17,1,5300108,53,5
2023,17,1,1,10028,23,1,5103403,51,5
2023,138,2,1,10028,5902,1,5300108,53,5
2023,132,2,1,10028,21,1,5300108,53,5
2023,137,2,1,10028,5806,1,5300108,53,5
2023,12,1,1,10028,12,1,5103403,51,5
2023,9,1,1,10028,17,1,5103403,51,5
2023,138,2,1,10028,5902,1,5300108,53,5
